育慧里,北京市,小营东路3号北京凯基伦购物中心一层西侧,"24小时,Wi-Fi,店内参观,礼品卡"
京通新城,北京市,朝阳路杨闸环岛西北京通苑30号楼一层南侧,"Wi-Fi,店内参观,礼品卡,生日餐会"
黄寺大街,北京市,黄寺大街15号北京城乡黄寺商厦,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
四季青桥,北京市,西四环北路117号北京欧尚超市F1、B1,"Wi-Fi,礼品卡,生日餐会"
亦庄,北京市,北京经济开发区西环北路18号F1＋F2,"Wi-Fi,礼品卡,生日餐会"
石园南大街,北京市,通顺路石园西区南侧北京顺义西单商场石园分店一层、二层部分,"24小时,Wi-Fi,店内参观,礼品卡"
北京站广场,北京市,北京站一层,礼品卡
北京南站,北京市,北京南站候车大厅B岛201号,"Wi-Fi,礼品卡"
北清路,北京市,北京北清路1号146区,"24小时,Wi-Fi,店内参观,礼品卡"
大红门新世纪肯德基餐厅,北京市,海户屯北京新世纪服装商贸城一层南侧,"Wi-Fi,点唱机,礼品卡"
育慧里,北京市,小营东路3号北京凯基伦购物中心一层西侧,"24小时,Wi-Fi,店内参观,礼品卡"
京通新城,北京市,朝阳路杨闸环岛西北京通苑30号楼一层南侧,"Wi-Fi,店内参观,礼品卡,生日餐会"
黄寺大街,北京市,黄寺大街15号北京城乡黄寺商厦,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
四季青桥,北京市,西四环北路117号北京欧尚超市F1、B1,"Wi-Fi,礼品卡,生日餐会"
亦庄,北京市,北京经济开发区西环北路18号F1＋F2,"Wi-Fi,礼品卡,生日餐会"
石园南大街,北京市,通顺路石园西区南侧北京顺义西单商场石园分店一层、二层部分,"24小时,Wi-Fi,店内参观,礼品卡"
北京站广场,北京市,北京站一层,礼品卡
北京南站,北京市,北京南站候车大厅B岛201号,"Wi-Fi,礼品卡"
北清路,北京市,北京北清路1号146区,"24小时,Wi-Fi,店内参观,礼品卡"
大红门新世纪肯德基餐厅,北京市,海户屯北京新世纪服装商贸城一层南侧,"Wi-Fi,点唱机,礼品卡"
巴沟,北京市,巴沟路2号北京华联万柳购物中心一层,"Wi-Fi,礼品卡,生日餐会"
北京站宝宸,北京市,北京站街22号一层+二层,"24小时,Wi-Fi,礼品卡"
亦庄沃尔玛,北京市,经济技术开发区文化园东路6号北京经开汇展中心1-2层,"Wi-Fi,店内参观,礼品卡,生日餐会"
北京站Select,北京市,北京火车站候车大厅一层西侧原商务中心,"精选店,礼品卡"
西客站内三,北京市,莲花桥东路118号北京西客站候车大厅内2层第4营业厅及2层夹层回廊,礼品卡
通州北苑华联,北京市,杨庄北里五十二号天时名苑小区十四号楼北京华联南侧一层,"Wi-Fi,店内参观,礼品卡,生日餐会"
日照银座餐厅,日照市,北京路与泰安路交汇处银座商城一楼,"Wi-Fi,店内参观,礼品卡,生日餐会"
荆州北京路,荆州市,沙区北京中路227号肯德基餐厅,"Wi-Fi,点唱机,礼品卡,生日餐会"
荆州月亮湾,荆州市,沙市区北京路中路173号,"Wi-Fi,点唱机,礼品卡,生日餐会"
荆州美佳华,荆州市,北京路美佳华A128号,"Wi-Fi,点唱机,礼品卡,生日餐会"
金山,福州市,建新镇金山大道100号北京金山05店面,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
北京南站三,北京市,北京南站地下一层南大门内东侧场地快速进站口3与快速进站口4中间,"Wi-Fi,礼品卡"
北京南站五,北京市,北京南站地下一层到达层西南侧第5出站口旁,"Wi-Fi,礼品卡"
北京南站六,北京市,北京南站二层旅客出发层西南角（23B检票口）旁,"Wi-Fi,礼品卡"
北京站广场二,北京市,北京站进站口西侧前廊下,"24小时,礼品卡"
马坡汽车穿梭,北京市,马坡镇顺城大街29号北京乡村乐园一层,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
新城外城DT,北京市,南四环成寿寺路308号北京城外诚家居广场停车广场,"Wi-Fi,店内参观,礼品卡"
铁路,乌鲁木齐市,北京南路895号豪威大厦1层肯德基餐厅,"Wi-Fi,点唱机,礼品卡,生日餐会"
苏州路,乌鲁木齐市,北京南路28号家乐福苏州路购物中心一层肯德基餐厅,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
蒙苑,呼和浩特市,兴安北路169号北京华联一层,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
南昌,兰州市,南昌路982号新北京华联一层,"Wi-Fi,店内参观,礼品卡,生日餐会"
太原府东,太原市,府东街18号北京华联超一层,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
金利,南京市,新华路138号鑫乐广场（北京华联超市旁）,"Wi-Fi,店内参观,礼品卡,生日餐会"
芜湖营盘山路,芜湖市,北京东路与营盘山路交叉口大润发超市一楼,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
钢铁大街,包头市,钢铁大街与三八路交汇处西北角北京华联超市底店,"Wi-Fi,店内参观,礼品卡,生日餐会"
阜阳火车站,阜阳市,向阳路和北京东路交汇口,"24小时,Wi-Fi,点唱机,礼品卡"
淮安北京路苏果,淮安市,北京新村五区新苑逸城,"Wi-Fi,店内参观,礼品卡,生日餐会"
小河,贵阳市,黔江路29号北京华联一层,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
金阳82266155,贵阳市,金阳新区北京西路金源时代购物中心一层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
国酒路,遵义市,仁怀市中枢镇酒都新区国酒大道超一时代广场一楼北京华联旁,"24小时,Wi-Fi,点唱机,礼品卡"
白云,昆明市,北京路延长线大白庙村家乐福超市一楼,"24小时,Wi-Fi,点唱机,礼品卡,生日餐会"
北辰,昆明市,北京路延长线财富中心E栋,"24小时,Wi-Fi,礼品卡,生日餐会"
购物广场,北海市,北海大道与北京路交汇处北海城购物广场首层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
博乐友好,博乐市,北京路与新华路交汇处友好购物中心肯德基餐厅,"Wi-Fi,店内参观,礼品卡,生日餐会"
北京站SEL-2,北京市,北京站内二楼高架西一至四、西十六商亭,"精选店,礼品卡"
梦时代,南昌市,北京东路308号恒茂梦时代国际广场三号楼一层,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
荆州万达,荆州市,北京西路508号万达广场一层1001A,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
北京站精选3,北京市,北京火车站内2层第四候车室,"精选店,礼品卡"
洪泽大润发,淮安市,北京路与建设路交汇处,"Wi-Fi,店内参观,礼品卡,生日餐会"
洪城大厦,南昌市,西湖区北京西路156号一层洪城大厦肯德基,"Wi-Fi,点唱机,礼品卡"
福润德餐厅,乌鲁木齐市,北京南路433号大寨沟福润德一楼肯德基餐厅,"Wi-Fi,点唱机,店内参观,礼品卡"
奎屯友好餐厅,伊犁哈萨克自治州,飞鸿里北京东路3栋友好时尚购物中心1-2层,
徐州泉山大润发,徐州市,北京路与欣欣路交叉口大润发超市一层,"Wi-Fi,点唱机,店内参观,生日餐会"
大兴龙湖,北京市,龙湖北京大兴天街商业楼三层3F-10a铺位,"Wi-Fi,店内参观"
徐州铜山万达,徐州市,北京北路19号,"点唱机,店内参观"
西站南广场二号,北京市,北京西客站南站房东附楼一层105号铺位、104铺位和二层204铺位,"Wi-Fi,点唱机"
银川悦海,银川市,尹家渠街东侧、枕水路南侧北京华联悦海新天地购物中心一层,"Wi-Fi,点唱机"
十堰万达,十堰市,发展大道与北京路延长线交汇处,"Wi-Fi,点唱机,店内参观,生日餐会"
